PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Archie Goodwin,PHX,21,57,14,19.5,8.9,3.1,7.4,0.4,1.7,2.3,3.4,0.5,2,2.1,1.8,0.5,0.2,1.5,15.3,1,0,-3.7
Brandon Knight,PHX,24,52,16,36,19.6,7.1,17.2,2.3,6.8,3,3.5,0.7,3.2,5.1,3.4,1.2,0.4,2.4,33.1,4,1,-4
Chase Budinger ,PHX,28,66,29,14.1,4.1,1.6,3.6,0.4,1.3,0.6,0.8,0.7,1.6,1,0.7,0.5,0.2,0.9,9.5,0,0,0
Cory Jefferson,PHX,25,8,2,6.3,2.8,1.1,2.8,0,0.1,0.5,0.8,0.8,1.3,0,0,0,0.1,1,5.5,0,0,-0.8
Devin Booker,PHX,19,76,20,27.7,13.8,4.8,11.4,1.3,3.8,2.8,3.4,0.4,2.1,2.6,2.1,0.6,0.3,3,21.1,3,0,-4.9
Eric Bledsoe,PHX,26,31,12,34.2,20.4,7.2,15.9,1.5,4.2,4.5,5.5,0.6,3.5,6.1,3.5,2,0.6,2.4,38.8,3,0,-1.6
John Jenkins,PHX,25,43,18,11.2,4.1,1.7,3.7,0.4,1.2,0.5,0.6,0.2,1.1,0.8,0.6,0.2,0,0.5,7,0,0,-1.5
Jon Leuer,PHX,27,67,22,18.7,8.5,3.3,7,0.6,1.6,1.1,1.5,1.1,4.4,1.1,1.1,0.6,0.4,1.9,18.7,10,0,-1
Mizra Teletovic,PHX,30,79,23,21.3,12.2,4.2,9.8,2.3,5.8,1.5,2,0.7,3.1,1.1,1.1,0.4,0.3,2,19.4,2,0,-2.2
P.J. Tucker,PHX,31,82,23,31,8,2.9,7.1,0.8,2.5,1.3,1.7,2,4.2,2.2,1.4,1.3,0.2,2.5,21.9,7,0,-4.3
Ronnie Price,PHX,33,62,20,19.5,5.3,1.9,4.9,1.1,3.2,0.5,0.7,0.4,1.2,2.4,1.1,1.2,0.2,2.6,13.9,0,0,-1.2
